type;statut;adresse;arrondissement;horaire;acces_pmr;relais_bebe;url_fiche_equipement;geo_shape;geo_point_2d_lat;geo_point_2d_long
SANISETTE;;RUE DU PRES SAINT-GERVAIS;75019;6 h - 22 h;Oui;;;"{""coordinates"": [[2.39301550804261, 48.876186042326026]], ""type"": ""MultiPoint""}";48.876186042326026;2.39301550804261
SANISETTE;;68  QUAI DE LA LOIRE;75019;6 h - 22 h;Oui;;;"{""coordinates"": [[2.377159137352083, 48.88659728582068]], ""type"": ""MultiPoint""}";48.88659728582068;2.377159137352083
SANISETTE;;face au 5 AVENUE DE LAUMIERE;75019;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3814219870920073, 48.883028782559876]], ""type"": ""MultiPoint""}";48.883028782559876;2.3814219870920073
SANISETTE;;6  PLACE DE LA PORTE DE BAGNOLET;75020;24 h / 24;Oui;;;"{""coordinates"": [[2.4089857792711213, 48.8641209736834]], ""type"": ""MultiPoint""}";48.8641209736834;2.4089857792711213
SANISETTE;;8  RUE D ARCOLE;75004;6 h - 22 h;Oui;;;"{""coordinates"": [[2.349398891032509, 48.854019890137394]], ""type"": ""MultiPoint""}";48.854019890137394;2.349398891032509
SANISETTE;;135 bis BOULEVARD DU MONTPARNASSE;75006;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3323286043872464, 48.841202569450815]], ""type"": ""MultiPoint""}";48.841202569450815;2.3323286043872464
SANISETTE;;face au 73 BOULEVARD SAINT MICHEL;75006;24 h / 24;Oui;;;"{""coordinates"": [[2.340044296677462, 48.84612923935423]], ""type"": ""MultiPoint""}";48.84612923935423;2.340044296677462
SANISETTE;;face au 4 AVENUE CLAUDE VELLEFAUX;75010;6 h - 1 h;Oui;;;"{""coordinates"": [[2.369583030462251, 48.872315075210196]], ""type"": ""MultiPoint""}";48.872315075210196;2.369583030462251
SANISETTE;;179  QUAI DE VALMY;75010;6 h - 1 h;Oui;;;"{""coordinates"": [[2.3673178205106655, 48.88016342714384]], ""type"": ""MultiPoint""}";48.88016342714384;2.3673178205106655
SANISETTE;;PLACE DE LA BASTILLE;75011;6 h - 22 h;Oui;;;"{""coordinates"": [[2.370072634439628, 48.853310609808005]], ""type"": ""MultiPoint""}";48.853310609808005;2.370072634439628
SANISETTE;;282  BOULEVARD VOLTAIRE;75011;6 h - 22 h;Oui;;;"{""coordinates"": [[2.393663208396153, 48.84958044775064]], ""type"": ""MultiPoint""}";48.84958044775064;2.393663208396153
SANISETTE;;6  AVENUE COURTELINE;75012;6 h - 22 h;Oui;;;"{""coordinates"": [[2.411265473129796, 48.844093326334296]], ""type"": ""MultiPoint""}";48.844093326334296;2.411265473129796
SANISETTE;;SQUARE EMILE COHL;75012;6 h - 22 h;Oui;;;"{""coordinates"": [[2.4098957524618267, 48.8419992062639]], ""type"": ""MultiPoint""}";48.8419992062639;2.4098957524618267
SANISETTE;;44  BOULEVARD VINCENT AURIOL;75013;24 h / 24;Oui;;;"{""coordinates"": [[2.3687826072974003, 48.835239265542754]], ""type"": ""MultiPoint""}";48.835239265542754;2.3687826072974003
SANISETTE;;;75018;6 h - 22 h;Oui;;;"{""coordinates"": [[2.343927619344526, 48.90078940778159]], ""type"": ""MultiPoint""}";48.90078940778159;2.343927619344526
TOILETTES;;SQUARE SAINTE-ODILE;75017;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-sainte-odile-2642;"{""coordinates"": [[2.293581537592891, 48.88785096721725]], ""type"": ""MultiPoint""}";48.88785096721725;2.293581537592891
TOILETTES;;BOIS DE BOULOGNE - PARC DE BAGATELLE - ORANGERIE;75016;Voir fiche équipement;Non;Oui;https://www.paris.fr/equipements/parc-de-bagatelle-1808;"{""coordinates"": [[2.24571855392109, 48.86844303070033]], ""type"": ""MultiPoint""}";48.86844303070033;2.24571855392109
